epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1061.19,0.64594,0.55914,0.01907,0.02068,0.94506,0.93498,0.97121,0.85988,0.50495,0.28768,0.02068,0.01232,0.000268381,0.000268381,0.000268381
38,1089.33,0.64285,0.56657,0.01932,0.01929,0.94678,0.93961,0.97007,0.86009,0.50233,0.27936,0.02057,0.01233,0.000264253,0.000264253,0.000264253
39,1116.92,0.64708,0.57683,0.01927,0.02022,0.94585,0.93271,0.96601,0.85523,0.50369,0.30102,0.02019,0.01207,0.000260125,0.000260125,0.000260125
40,1145.14,0.64242,0.55164,0.0193,0.02001,0.94573,0.94104,0.96765,0.85796,0.50973,0.28274,0.02031,0.01273,0.000255996,0.000255996,0.000255996
41,1172.49,0.65009,0.5543,0.01937,0.02037,0.94534,0.93718,0.96699,0.85717,0.50784,0.28859,0.02095,0.01376,0.000251868,0.000251868,0.000251868
42,1200.76,0.64577,0.55193,0.01935,0.0204,0.95067,0.93792,0.97125,0.85906,0.50606,0.2729,0.02046,0.01212,0.00024774,0.00024774,0.00024774
43,1228.22,0.64549,0.55439,0.0196,0.01977,0.94751,0.93266,0.96861,0.85919,0.50757,0.28065,0.02062,0.01178,0.000243611,0.000243611,0.000243611
44,1257.55,0.64031,0.55368,0.01983,0.0199,0.93448,0.94529,0.96485,0.85569,0.50123,0.28964,0.02065,0.01306,0.000239483,0.000239483,0.000239483
45,1284.88,0.63381,0.53708,0.01976,0.01949,0.96194,0.93076,0.96916,0.85539,0.51118,0.27244,0.02079,0.01296,0.000235355,0.000235355,0.000235355
46,1313.31,0.63157,0.53398,0.01959,0.01959,0.94806,0.93721,0.97248,0.86287,0.50641,0.2752,0.02099,0.01322,0.000231226,0.000231226,0.000231226
47,1340.92,0.6442,0.54902,0.01986,0.01916,0.9396,0.95429,0.96884,0.85862,0.50293,0.2704,0.02112,0.01207,0.000227098,0.000227098,0.000227098
48,1369.3,0.63531,0.54414,0.01967,0.01986,0.9598,0.93888,0.96671,0.8595,0.49399,0.27264,0.02071,0.01195,0.00022297,0.00022297,0.00022297
49,1396.6,0.63673,0.54245,0.01997,0.02107,0.94777,0.95416,0.97024,0.86397,0.49527,0.26103,0.02095,0.01221,0.000218842,0.000218842,0.000218842
50,1424.93,0.62579,0.52326,0.02017,0.01816,0.95797,0.93835,0.96824,0.8607,0.49932,0.26783,0.02096,0.01288,0.000214713,0.000214713,0.000214713
51,1451.62,0.6227,0.51566,0.01996,0.01807,0.95932,0.93805,0.96973,0.86262,0.497,0.26719,0.02102,0.01254,0.000210585,0.000210585,0.000210585
52,1479.5,0.62401,0.53549,0.02052,0.01829,0.95928,0.94937,0.97241,0.86433,0.49994,0.25695,0.02135,0.01176,0.000206457,0.000206457,0.000206457
53,1506.31,0.6201,0.51181,0.0197,0.01822,0.95406,0.95245,0.96863,0.86171,0.49495,0.2608,0.02115,0.01214,0.000202328,0.000202328,0.000202328
54,1534.12,0.62758,0.53505,0.02013,0.01955,0.95018,0.93803,0.96576,0.85795,0.49968,0.27976,0.02152,0.01144,0.0001982,0.0001982,0.0001982
55,1561.45,0.62555,0.51387,0.02011,0.01828,0.95593,0.94204,0.9711,0.86364,0.49612,0.25603,0.0214,0.01126,0.000194072,0.000194072,0.000194072
56,1590.59,0.61893,0.51065,0.01936,0.01886,0.95354,0.94383,0.96902,0.86388,0.49411,0.26155,0.02099,0.01102,0.000189943,0.000189943,0.000189943
57,1618.69,0.61487,0.49674,0.01977,0.01814,0.94567,0.95118,0.97236,0.866,0.4927,0.25417,0.02099,0.01098,0.000185815,0.000185815,0.000185815
58,1646.32,0.61399,0.50856,0.02024,0.01787,0.95479,0.94088,0.96719,0.86074,0.49675,0.2731,0.0209,0.01153,0.000181687,0.000181687,0.000181687
59,1673.92,0.61603,0.48774,0.01919,0.0191,0.94229,0.94954,0.97025,0.86327,0.49688,0.26209,0.0205,0.0131,0.000177559,0.000177559,0.000177559
60,1701.43,0.61541,0.50783,0.01972,0.01816,0.95274,0.95276,0.97401,0.86648,0.49764,0.25985,0.02081,0.01123,0.00017343,0.00017343,0.00017343
61,1729.39,0.61349,0.50739,0.01897,0.01744,0.95244,0.94828,0.97097,0.86672,0.49284,0.25862,0.02045,0.01063,0.000169302,0.000169302,0.000169302
62,1757.3,0.60991,0.49733,0.0195,0.01823,0.95399,0.94294,0.96942,0.86319,0.4933,0.26483,0.02069,0.01129,0.000165174,0.000165174,0.000165174
63,1785.36,0.61465,0.5025,0.01958,0.01947,0.96093,0.94558,0.97745,0.87094,0.49435,0.25839,0.02059,0.01046,0.000161045,0.000161045,0.000161045
64,1813.29,0.59708,0.48204,0.01921,0.01707,0.95944,0.94031,0.97299,0.86759,0.49607,0.24805,0.02064,0.01142,0.000156917,0.000156917,0.000156917
65,1844.8,0.60642,0.54078,0.02023,0.01661,0.9613,0.94952,0.9763,0.87049,0.4905,0.24338,0.02078,0.0111,0.000152789,0.000152789,0.000152789
66,1873.07,0.59879,0.48301,0.01908,0.01633,0.96543,0.95207,0.97385,0.86851,0.49091,0.2511,0.02047,0.01101,0.00014866,0.00014866,0.00014866
67,1900.97,0.60346,0.47788,0.01924,0.01573,0.95412,0.95331,0.97555,0.86954,0.49206,0.24909,0.02087,0.01106,0.000144532,0.000144532,0.000144532
68,1929.74,0.59609,0.47706,0.01912,0.01627,0.96522,0.9364,0.96996,0.86386,0.49611,0.26573,0.02074,0.01126,0.000140404,0.000140404,0.000140404
69,1957.19,0.601,0.48631,0.01952,0.01696,0.95844,0.94647,0.97427,0.8704,0.48806,0.25409,0.02042,0.01085,0.000136276,0.000136276,0.000136276
70,1985.33,0.59815,0.49991,0.01908,0.01631,0.95767,0.93913,0.97313,0.86809,0.49051,0.26963,0.0201,0.01095,0.000132147,0.000132147,0.000132147
71,2012.54,0.61163,0.52551,0.02031,0.01659,0.96227,0.94274,0.97267,0.8671,0.49004,0.25165,0.02036,0.011,0.000128019,0.000128019,0.000128019
72,2040.96,0.59515,0.48589,0.01943,0.01583,0.95669,0.94904,0.97032,0.86437,0.49303,0.26246,0.02046,0.01055,0.000123891,0.000123891,0.000123891
73,2068.54,0.59128,0.47613,0.01953,0.01636,0.96236,0.95255,0.97373,0.86861,0.48916,0.24905,0.02025,0.0109,0.000119762,0.000119762,0.000119762
74,2096.75,0.59226,0.47717,0.01936,0.01678,0.96185,0.94289,0.97536,0.87058,0.48881,0.25425,0.0204,0.01114,0.000115634,0.000115634,0.000115634
75,2123.87,0.59136,0.47549,0.01919,0.01562,0.96352,0.93608,0.97046,0.86508,0.49188,0.26168,0.02044,0.01097,0.000111506,0.000111506,0.000111506
76,2151.64,0.59665,0.49073,0.01907,0.01703,0.96246,0.9424,0.97185,0.86731,0.49058,0.25516,0.02045,0.01088,0.000107378,0.000107378,0.000107378
77,2179.31,0.59677,0.48072,0.01945,0.01618,0.95984,0.94337,0.97117,0.86685,0.49378,0.25881,0.02064,0.01113,0.000103249,0.000103249,0.000103249
78,2206.99,0.58619,0.47804,0.01938,0.01588,0.96876,0.94311,0.97212,0.86555,0.49305,0.26208,0.02076,0.01155,9.91209e-05,9.91209e-05,9.91209e-05
79,2235.62,0.58427,0.4698,0.01918,0.01596,0.95763,0.95175,0.9721,0.86764,0.48975,0.26035,0.02099,0.01154,9.49926e-05,9.49926e-05,9.49926e-05
80,2263.08,0.59499,0.47564,0.01974,0.01767,0.96195,0.95389,0.9738,0.86935,0.48956,0.25106,0.02098,0.01152,9.08643e-05,9.08643e-05,9.08643e-05
81,2291.42,0.59303,0.46856,0.01987,0.01664,0.95967,0.95499,0.97283,0.86811,0.49064,0.25392,0.02079,0.01147,8.6736e-05,8.6736e-05,8.6736e-05
82,2318.57,0.5849,0.46286,0.01896,0.01629,0.96039,0.94945,0.97147,0.86651,0.49171,0.25715,0.02093,0.01089,8.26077e-05,8.26077e-05,8.26077e-05
83,2346.68,0.5876,0.4614,0.01949,0.01579,0.96535,0.94868,0.97051,0.86644,0.48881,0.2511,0.02063,0.01102,7.84794e-05,7.84794e-05,7.84794e-05
