epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,870.328,0.69682,0.64418,0.01917,0.0241,0.95014,0.91913,0.96481,0.8473,0.52684,0.29202,0.02018,0.0134,0.000268381,0.000268381,0.000268381
38,892.449,0.70037,0.6357,0.01997,0.02537,0.93905,0.94352,0.97064,0.85071,0.53411,0.28499,0.02087,0.01393,0.000264253,0.000264253,0.000264253
39,914.012,0.69923,0.62453,0.01996,0.02427,0.94533,0.93509,0.96699,0.84867,0.53251,0.29551,0.02056,0.01401,0.000260125,0.000260125,0.000260125
40,936.867,0.70684,0.61865,0.01966,0.02628,0.9341,0.93796,0.96599,0.84909,0.53367,0.29885,0.02005,0.01454,0.000255996,0.000255996,0.000255996
41,959.294,0.7064,0.61834,0.01974,0.0264,0.94706,0.93456,0.97083,0.85221,0.53209,0.28709,0.02046,0.01274,0.000251868,0.000251868,0.000251868
42,982.425,0.69139,0.61057,0.0194,0.02501,0.94941,0.92919,0.9674,0.85115,0.5257,0.2936,0.0205,0.01234,0.00024774,0.00024774,0.00024774
43,1005.87,0.69418,0.59875,0.01975,0.02443,0.9478,0.93147,0.96725,0.84911,0.52804,0.28682,0.02065,0.01404,0.000243611,0.000243611,0.000243611
44,1029.09,0.69243,0.60773,0.01986,0.02518,0.94417,0.94042,0.97218,0.85411,0.52841,0.27875,0.02016,0.01253,0.000239483,0.000239483,0.000239483
45,1050.65,0.69111,0.60719,0.01938,0.02463,0.96051,0.93546,0.97087,0.85358,0.52418,0.26884,0.0202,0.01288,0.000235355,0.000235355,0.000235355
46,1072.19,0.67974,0.60212,0.01921,0.02441,0.94806,0.94068,0.97047,0.85196,0.52863,0.28498,0.02054,0.0127,0.000231226,0.000231226,0.000231226
47,1093.77,0.69199,0.59284,0.01994,0.02422,0.96117,0.94107,0.97425,0.85666,0.52868,0.26745,0.02038,0.01375,0.000227098,0.000227098,0.000227098
48,1115.26,0.69182,0.60211,0.01976,0.0245,0.95239,0.94508,0.97169,0.85462,0.52939,0.27816,0.02013,0.01322,0.00022297,0.00022297,0.00022297
49,1136.59,0.69168,0.60369,0.01971,0.02531,0.95696,0.93962,0.97236,0.8556,0.52678,0.27481,0.02042,0.01357,0.000218842,0.000218842,0.000218842
50,1158.32,0.68836,0.59205,0.01953,0.02539,0.94591,0.93757,0.97103,0.85358,0.52247,0.27759,0.02026,0.01298,0.000214713,0.000214713,0.000214713
51,1180.17,0.67531,0.5827,0.01953,0.02322,0.94999,0.94075,0.97111,0.85312,0.52522,0.27279,0.0205,0.01324,0.000210585,0.000210585,0.000210585
52,1202.96,0.68659,0.58867,0.01972,0.02381,0.95572,0.93691,0.97432,0.85676,0.52088,0.27116,0.02026,0.0129,0.000206457,0.000206457,0.000206457
53,1225.23,0.68481,0.58546,0.01961,0.02425,0.94413,0.94422,0.96986,0.85208,0.52622,0.27333,0.01981,0.01368,0.000202328,0.000202328,0.000202328
54,1247,0.68047,0.56718,0.01955,0.02385,0.94887,0.95472,0.97285,0.85485,0.5264,0.26371,0.02045,0.01369,0.0001982,0.0001982,0.0001982
55,1268.76,0.68036,0.58232,0.01935,0.02302,0.94464,0.94966,0.96982,0.8524,0.52368,0.26801,0.02058,0.0131,0.000194072,0.000194072,0.000194072
56,1291.07,0.67507,0.56478,0.01959,0.02278,0.96145,0.94256,0.97489,0.8578,0.52213,0.26017,0.02038,0.01378,0.000189943,0.000189943,0.000189943
57,1314.13,0.66815,0.55894,0.0194,0.0231,0.94329,0.95371,0.97444,0.85615,0.52025,0.26138,0.02038,0.01294,0.000185815,0.000185815,0.000185815
58,1337.14,0.66907,0.56084,0.01993,0.02264,0.95622,0.94833,0.97363,0.85765,0.51887,0.26095,0.02044,0.01301,0.000181687,0.000181687,0.000181687
59,1358.98,0.66025,0.5513,0.01924,0.02173,0.95273,0.94303,0.97055,0.85535,0.52031,0.26496,0.02034,0.01271,0.000177559,0.000177559,0.000177559
60,1381.06,0.66805,0.56203,0.01957,0.02268,0.94775,0.9478,0.97481,0.85826,0.52164,0.26335,0.02036,0.0127,0.00017343,0.00017343,0.00017343
61,1403.81,0.66459,0.54998,0.01967,0.02253,0.95934,0.93802,0.96954,0.85314,0.51869,0.27268,0.02025,0.01284,0.000169302,0.000169302,0.000169302
62,1426.73,0.66393,0.56365,0.01938,0.02285,0.94453,0.94875,0.96896,0.8542,0.51691,0.26776,0.0201,0.01277,0.000165174,0.000165174,0.000165174
63,1449.67,0.66854,0.55542,0.0193,0.02357,0.95323,0.95044,0.97018,0.85458,0.51734,0.26363,0.02024,0.01277,0.000161045,0.000161045,0.000161045
