epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
37,1396.86,0.62193,0.4538,0.01763,0.02044,0.963,0.95123,0.98211,0.8727,0.50713,0.23667,0.01803,0.01615,0.000268381,0.000268381,0.000268381
38,1434.28,0.6122,0.44525,0.01818,0.01969,0.95706,0.96257,0.98036,0.87256,0.50927,0.23869,0.0195,0.01682,0.000264253,0.000264253,0.000264253
39,1471.51,0.61024,0.43876,0.01848,0.01847,0.96021,0.95933,0.98092,0.87473,0.49986,0.24187,0.01892,0.01301,0.000260125,0.000260125,0.000260125
40,1509.4,0.60873,0.43619,0.01861,0.01995,0.96931,0.95004,0.9809,0.87169,0.50622,0.24609,0.0197,0.01803,0.000255996,0.000255996,0.000255996
41,1546.59,0.60944,0.44752,0.01855,0.02012,0.95084,0.97225,0.98477,0.87786,0.49815,0.21748,0.01884,0.01302,0.000251868,0.000251868,0.000251868
42,1584.11,0.60121,0.42643,0.01798,0.01885,0.95865,0.96852,0.9835,0.87021,0.51227,0.22511,0.01868,0.01213,0.00024774,0.00024774,0.00024774
43,1621.73,0.6007,0.42355,0.01831,0.01858,0.95386,0.97096,0.98467,0.87354,0.51043,0.22548,0.01907,0.01435,0.000243611,0.000243611,0.000243611
44,1659.09,0.59496,0.41651,0.01833,0.01847,0.96805,0.95998,0.9859,0.87328,0.51483,0.22333,0.01842,0.01839,0.000239483,0.000239483,0.000239483
45,1696.77,0.60135,0.42509,0.0181,0.01869,0.96663,0.97087,0.9842,0.87688,0.49534,0.21618,0.01868,0.01295,0.000235355,0.000235355,0.000235355
46,1734.52,0.58596,0.41154,0.01771,0.01847,0.96031,0.97186,0.98668,0.87906,0.49769,0.21571,0.01897,0.01262,0.000231226,0.000231226,0.000231226
47,1771.93,0.59298,0.40945,0.01859,0.01708,0.97151,0.96865,0.9872,0.88063,0.49712,0.21016,0.01931,0.01097,0.000227098,0.000227098,0.000227098
48,1809.74,0.59091,0.41458,0.01843,0.01675,0.97053,0.96671,0.98448,0.8752,0.50077,0.21174,0.01887,0.01198,0.00022297,0.00022297,0.00022297
49,1847.03,0.58859,0.41267,0.01825,0.01793,0.97227,0.9698,0.98609,0.88051,0.49316,0.20848,0.01882,0.01351,0.000218842,0.000218842,0.000218842
50,1883.8,0.58837,0.40844,0.01838,0.01795,0.96176,0.97638,0.98814,0.88164,0.49376,0.21184,0.01867,0.0111,0.000214713,0.000214713,0.000214713
51,1921.62,0.57617,0.40274,0.01831,0.01657,0.96233,0.97162,0.98311,0.87667,0.49938,0.21895,0.01937,0.01183,0.000210585,0.000210585,0.000210585
52,1959.36,0.57787,0.40372,0.01816,0.01667,0.96792,0.97626,0.98741,0.88156,0.49111,0.20802,0.01861,0.0127,0.000206457,0.000206457,0.000206457
53,1997.14,0.57814,0.39545,0.01802,0.01611,0.96617,0.97097,0.98579,0.87789,0.49359,0.21457,0.0189,0.01175,0.000202328,0.000202328,0.000202328
54,2034.65,0.56933,0.39919,0.01808,0.01634,0.96558,0.97018,0.98587,0.8807,0.49748,0.21444,0.01911,0.01191,0.0001982,0.0001982,0.0001982
55,2072.36,0.57051,0.39685,0.01792,0.01554,0.96515,0.97044,0.98754,0.88291,0.48988,0.20966,0.01842,0.01101,0.000194072,0.000194072,0.000194072
56,2110.34,0.57464,0.38414,0.01839,0.0172,0.96849,0.96895,0.98564,0.88058,0.50062,0.21894,0.01858,0.0126,0.000189943,0.000189943,0.000189943
57,2147.88,0.56145,0.38463,0.01769,0.01663,0.96885,0.9757,0.98726,0.88153,0.49533,0.20247,0.01812,0.01329,0.000185815,0.000185815,0.000185815
58,2185.32,0.56087,0.38303,0.01837,0.01525,0.98039,0.97182,0.98581,0.87932,0.49085,0.1984,0.01837,0.01159,0.000181687,0.000181687,0.000181687
59,2222.28,0.55108,0.37297,0.01794,0.01465,0.97811,0.96145,0.97993,0.87605,0.48973,0.21401,0.01814,0.01101,0.000177559,0.000177559,0.000177559
60,2259.75,0.55467,0.37688,0.01794,0.01475,0.97358,0.9678,0.98469,0.87927,0.49345,0.21882,0.01866,0.01109,0.00017343,0.00017343,0.00017343
61,2297.2,0.55412,0.3797,0.01828,0.01531,0.97116,0.96778,0.98166,0.87705,0.49422,0.22244,0.01882,0.01206,0.000169302,0.000169302,0.000169302
62,2334.68,0.54806,0.37859,0.01813,0.01376,0.96454,0.96497,0.98218,0.87543,0.49746,0.21802,0.01855,0.01125,0.000165174,0.000165174,0.000165174
63,2371.97,0.55027,0.37189,0.01781,0.01508,0.97089,0.96958,0.98419,0.88107,0.49141,0.21097,0.01895,0.01123,0.000161045,0.000161045,0.000161045
64,2409.82,0.5454,0.36958,0.01812,0.01444,0.97449,0.97387,0.98883,0.88446,0.49168,0.20185,0.01905,0.01122,0.000156917,0.000156917,0.000156917
65,2447.75,0.5414,0.36671,0.0179,0.01507,0.97846,0.96461,0.98807,0.88329,0.49118,0.20515,0.01929,0.01139,0.000152789,0.000152789,0.000152789
66,2485.04,0.53934,0.36544,0.01827,0.01427,0.97539,0.96465,0.98571,0.88167,0.4952,0.21759,0.01915,0.01047,0.00014866,0.00014866,0.00014866
67,2522.46,0.54325,0.36638,0.01786,0.01476,0.97312,0.96655,0.98607,0.87636,0.49812,0.21105,0.01932,0.01023,0.000144532,0.000144532,0.000144532
68,2560.1,0.53243,0.36307,0.01831,0.01352,0.96971,0.97255,0.98659,0.88111,0.49276,0.21225,0.0195,0.0105,0.000140404,0.000140404,0.000140404
69,2597.16,0.53557,0.35814,0.0182,0.01376,0.97667,0.96838,0.98765,0.87902,0.49638,0.20233,0.01968,0.01054,0.000136276,0.000136276,0.000136276
70,2634.17,0.53376,0.35648,0.01794,0.01372,0.97717,0.96865,0.98861,0.88456,0.49025,0.1964,0.0189,0.01082,0.000132147,0.000132147,0.000132147
71,2671.56,0.53422,0.35432,0.01787,0.01378,0.97508,0.97468,0.98933,0.88588,0.49049,0.19711,0.01927,0.01011,0.000128019,0.000128019,0.000128019
72,2709.16,0.52983,0.35356,0.01807,0.01409,0.97073,0.97102,0.98884,0.88546,0.49225,0.19918,0.01979,0.01018,0.000123891,0.000123891,0.000123891
73,2746.69,0.52494,0.3573,0.01817,0.01305,0.9779,0.96386,0.98423,0.87979,0.49555,0.20399,0.01918,0.01011,0.000119762,0.000119762,0.000119762
74,2783.94,0.52227,0.34885,0.01815,0.01464,0.97485,0.96922,0.98899,0.88508,0.49319,0.20075,0.01901,0.01081,0.000115634,0.000115634,0.000115634
75,2821.53,0.51995,0.3504,0.01806,0.01452,0.97337,0.97696,0.98861,0.88518,0.4893,0.195,0.01963,0.01095,0.000111506,0.000111506,0.000111506
76,2858.93,0.52141,0.3486,0.01848,0.01344,0.97454,0.97246,0.98696,0.88408,0.48722,0.20368,0.01954,0.01009,0.000107378,0.000107378,0.000107378
77,2896.82,0.51928,0.35485,0.01805,0.01244,0.98123,0.97244,0.98553,0.88283,0.48687,0.19998,0.01912,0.01056,0.000103249,0.000103249,0.000103249
78,2934.16,0.51683,0.35327,0.01816,0.01251,0.97473,0.97628,0.98584,0.88346,0.48773,0.20087,0.01911,0.01003,9.91209e-05,9.91209e-05,9.91209e-05
79,2971.37,0.5073,0.34197,0.01799,0.01177,0.97706,0.97265,0.9845,0.88275,0.48705,0.19887,0.01899,0.00953,9.49926e-05,9.49926e-05,9.49926e-05
80,3008.61,0.51005,0.34322,0.01839,0.01292,0.98145,0.97503,0.98745,0.8836,0.48706,0.1961,0.01901,0.01,9.08643e-05,9.08643e-05,9.08643e-05
81,3045.76,0.50685,0.33877,0.01805,0.01225,0.98194,0.96824,0.98492,0.88411,0.48491,0.20442,0.019,0.01008,8.6736e-05,8.6736e-05,8.6736e-05
82,3082.35,0.50322,0.33543,0.01791,0.01245,0.98344,0.97002,0.98781,0.88258,0.48971,0.1973,0.01897,0.00953,8.26077e-05,8.26077e-05,8.26077e-05
83,3119.89,0.50855,0.33271,0.018,0.01226,0.97785,0.96848,0.98519,0.87992,0.49049,0.20238,0.01934,0.01028,7.84794e-05,7.84794e-05,7.84794e-05
84,3157.07,0.50608,0.33095,0.01792,0.01243,0.9724,0.9754,0.98442,0.87992,0.4905,0.20708,0.01907,0.00986,7.43511e-05,7.43511e-05,7.43511e-05
85,3194.25,0.50831,0.34573,0.01783,0.01157,0.9797,0.97551,0.98702,0.8822,0.48888,0.19965,0.01868,0.01039,7.02228e-05,7.02228e-05,7.02228e-05
86,3231.89,0.50258,0.34631,0.01775,0.01216,0.97915,0.96902,0.98668,0.88274,0.48727,0.20036,0.01907,0.00968,6.60945e-05,6.60945e-05,6.60945e-05
87,3269.8,0.50459,0.34227,0.01817,0.01157,0.96725,0.9797,0.98652,0.88229,0.48855,0.20305,0.01878,0.01023,6.19662e-05,6.19662e-05,6.19662e-05
88,3308.29,0.49635,0.32991,0.01823,0.01127,0.97401,0.97619,0.98755,0.88505,0.48555,0.19952,0.0188,0.00978,5.78379e-05,5.78379e-05,5.78379e-05
89,3346.45,0.49689,0.32708,0.01771,0.01125,0.97268,0.98256,0.98794,0.88494,0.48655,0.19798,0.01884,0.01039,5.37096e-05,5.37096e-05,5.37096e-05
90,3384.34,0.5015,0.33161,0.01804,0.01176,0.97926,0.97318,0.98736,0.88405,0.48797,0.19779,0.0188,0.00928,4.95813e-05,4.95813e-05,4.95813e-05
91,3423.28,0.40052,0.18776,0.01772,0.0095,0.9835,0.96865,0.98583,0.88009,0.48816,0.20009,0.01876,0.01005,4.5453e-05,4.5453e-05,4.5453e-05
